epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1771.01,2.75558,0.12159,0.62157,0.91072,0.33834,0.383,0.21022,2.74438,0.12815,0.57462,0.000330698,0.000330698,0.000330698
63,1797.81,2.70619,0.12124,0.61414,0.8926,0.34356,0.381,0.20894,2.6732,0.12573,0.57167,0.000316006,0.000316006,0.000316006
64,1824.57,2.72989,0.12072,0.61657,0.95126,0.32381,0.38423,0.21247,2.744,0.12972,0.57629,0.000301496,0.000301496,0.000301496
65,1851.63,2.73428,0.12077,0.61495,0.9488,0.31918,0.3763,0.19636,2.74002,0.12964,0.57486,0.000287182,0.000287182,0.000287182
66,1878.34,2.69632,0.12127,0.61998,0.84123,0.33382,0.36247,0.20112,2.73759,0.13095,0.56949,0.000273077,0.000273077,0.000273077
67,1905.89,2.75251,0.12206,0.61577,0.85346,0.3417,0.37064,0.2036,2.75926,0.12977,0.57578,0.000259197,0.000259197,0.000259197
68,1933.65,2.75013,0.12084,0.61206,0.88544,0.34223,0.39358,0.21375,2.72483,0.1272,0.57123,0.000245555,0.000245555,0.000245555
69,1960.32,2.73718,0.121,0.61181,0.87278,0.34288,0.39229,0.21119,2.70939,0.12659,0.57484,0.000232163,0.000232163,0.000232163
70,1986.17,2.68744,0.1208,0.61391,0.91666,0.31936,0.38092,0.20784,2.74585,0.12833,0.57077,0.000219036,0.000219036,0.000219036
71,2012.69,2.66531,0.11967,0.61532,0.94055,0.32898,0.3869,0.21029,2.69527,0.1264,0.57476,0.000206187,0.000206187,0.000206187
72,2039.6,2.6671,0.12015,0.61772,0.85423,0.32964,0.37439,0.19844,2.68854,0.12723,0.57344,0.000193627,0.000193627,0.000193627
73,2066.12,2.66283,0.11978,0.61701,0.91052,0.33163,0.38418,0.20674,2.71789,0.12787,0.57498,0.00018137,0.00018137,0.00018137
